timestamp,value
2024-03-13 21:46:19.210572,226
2024-03-13 21:46:19.217868,177
2024-03-13 21:46:19.220677,645
2024-03-13 21:46:19.221285,228
2024-03-13 21:46:19.224686,229
2024-03-13 21:46:19.231154,178
2024-03-13 21:46:19.231280,179
2024-03-13 21:46:19.231370,230
2024-03-13 21:46:19.231472,179
2024-03-13 21:46:19.231539,181
2024-03-13 21:46:19.314843,652
2024-03-13 21:46:19.316075,651
2024-03-13 21:46:19.457706,313
2024-03-13 21:46:19.457733,314
2024-03-13 21:46:19.457735,314
2024-03-13 21:46:19.479934,654
2024-03-13 21:46:19.675265,130
2024-03-13 21:46:19.739164,655
2024-03-13 21:46:19.755143,656
2024-03-13 21:46:19.812608,655
2024-03-13 21:46:22.359221,657
2024-03-13 21:46:22.359669,657
2024-03-13 21:46:22.359844,657
2024-03-13 21:46:22.360003,657
2024-03-13 21:46:22.360150,657
2024-03-13 21:46:22.360294,657
2024-03-13 21:46:22.360468,657
2024-03-13 21:46:23.084852,658
2024-03-13 21:46:24.345738,660
2024-03-13 21:46:24.777701,676
2024-03-13 21:46:26.658637,659
2024-03-13 21:46:26.845649,185
2024-03-13 21:46:26.845858,185
2024-03-13 21:46:26.962443,186
2024-03-13 21:46:26.985701,660
2024-03-13 21:46:26.997012,661
2024-03-13 21:46:27.022440,187
2024-03-13 21:46:27.060061,323
2024-03-13 21:46:27.094800,215
2024-03-13 21:46:27.096624,131
2024-03-13 21:46:27.096858,259
2024-03-13 21:46:27.109198,206
2024-03-13 21:46:27.221521,132
2024-03-13 21:46:27.221654,207
2024-03-13 21:46:27.299337,260
2024-03-13 21:46:27.301867,662
2024-03-13 21:46:27.302056,265
2024-03-13 21:46:27.438095,297
2024-03-13 21:46:27.438295,298
2024-03-13 21:46:27.444584,299
2024-03-13 21:46:27.555265,300
2024-03-13 21:46:27.562375,301
2024-03-13 21:46:27.563577,302
2024-03-13 21:46:27.564191,661
2024-03-13 21:46:27.564583,663
2024-03-13 21:46:27.564796,664
2024-03-13 21:46:27.722178,665
2024-03-13 21:46:27.834937,666
2024-03-13 21:46:27.835535,261
2024-03-13 21:46:27.835773,245
2024-03-13 21:46:27.835977,245
2024-03-13 21:46:27.838709,667
2024-03-13 21:46:27.841089,668
2024-03-13 21:46:27.849433,661
2024-03-13 21:46:27.849944,669
2024-03-13 21:46:28.264414,665
2024-03-13 21:46:28.367550,670
2024-03-13 21:46:28.368857,671
2024-03-13 21:46:28.434154,672
2024-03-13 21:46:28.434961,245
2024-03-13 21:46:28.435224,673
