timestamp,value
2024-03-29 15:05:51.000,226
2024-03-29 15:05:51.000,181
2024-03-29 15:05:51.000,230
2024-03-29 15:05:51.000,179
2024-03-29 15:05:51.000,178
2024-03-29 15:05:51.000,179
2024-03-29 15:05:51.000,228
2024-03-29 15:05:51.000,227
2024-03-29 15:05:51.000,177
2024-03-29 15:05:51.000,229
2024-03-29 15:05:56.000,197
2024-03-29 15:05:56.000,203
2024-03-29 15:05:56.000,204
2024-03-29 15:05:56.000,205
2024-03-29 15:06:01.000,305
2024-03-29 15:06:01.000,306
2024-03-29 15:06:01.000,305
2024-03-29 15:06:01.000,305
2024-03-29 15:06:01.000,128
2024-03-29 15:06:01.000,128
2024-03-29 15:06:01.000,128
2024-03-29 15:06:01.000,128
2024-03-29 15:06:02.000,307
2024-03-29 15:06:02.000,130
2024-03-29 15:06:06.000,341
2024-03-29 15:06:16.000,307
2024-03-29 15:06:16.000,130
2024-03-29 15:06:31.000,130
2024-03-29 15:06:31.000,307
2024-03-29 15:06:46.000,130
2024-03-29 15:06:46.000,307
2024-03-29 15:07:01.000,128
2024-03-29 15:07:01.000,128
2024-03-29 15:07:01.000,128
2024-03-29 15:07:01.000,128
2024-03-29 15:07:01.000,305
2024-03-29 15:07:01.000,305
2024-03-29 15:07:01.000,305
2024-03-29 15:07:01.000,306
2024-03-29 15:07:01.000,307
2024-03-29 15:07:01.000,130
2024-03-29 15:07:16.000,307
2024-03-29 15:07:16.000,130
2024-03-29 15:07:31.000,130
2024-03-29 15:07:31.000,307
2024-03-29 15:07:46.000,307
2024-03-29 15:07:46.000,130
2024-03-29 15:08:01.000,128
2024-03-29 15:08:01.000,128
2024-03-29 15:08:01.000,128
2024-03-29 15:08:01.000,128
2024-03-29 15:08:01.000,305
2024-03-29 15:08:01.000,305
2024-03-29 15:08:01.000,305
2024-03-29 15:08:01.000,306
2024-03-29 15:08:01.000,307
2024-03-29 15:08:01.000,130
2024-03-29 15:08:16.000,307
2024-03-29 15:08:16.000,130
2024-03-29 15:08:31.000,130
2024-03-29 15:08:31.000,307
2024-03-29 15:08:46.000,307
2024-03-29 15:08:46.000,130
2024-03-29 15:09:01.000,128
2024-03-29 15:09:01.000,128
2024-03-29 15:09:02.000,128
2024-03-29 15:09:02.000,128
2024-03-29 15:09:02.000,305
2024-03-29 15:09:02.000,305
2024-03-29 15:09:02.000,305
2024-03-29 15:09:02.000,306
2024-03-29 15:09:02.000,307
2024-03-29 15:09:02.000,130
2024-03-29 15:09:16.000,130
2024-03-29 15:09:16.000,307
2024-03-29 15:09:31.000,307
2024-03-29 15:09:31.000,130
2024-03-29 15:09:36.000,384
2024-03-29 15:09:36.000,463
2024-03-29 15:09:37.000,587
2024-03-29 15:09:46.000,307
2024-03-29 15:09:46.000,130
2024-03-29 15:09:47.000,588
2024-03-29 15:09:47.000,589
2024-03-29 15:09:47.000,590
2024-03-29 15:10:01.000,305
2024-03-29 15:10:01.000,130
2024-03-29 15:10:01.000,307
2024-03-29 15:10:01.000,306
2024-03-29 15:10:01.000,305
2024-03-29 15:10:01.000,305
2024-03-29 15:10:01.000,128
2024-03-29 15:10:01.000,128
2024-03-29 15:10:01.000,128
2024-03-29 15:10:01.000,128
2024-03-29 15:10:16.000,307
2024-03-29 15:10:16.000,130
2024-03-29 15:10:31.000,307
2024-03-29 15:10:31.000,130
2024-03-29 15:10:46.000,307
2024-03-29 15:10:46.000,130
2024-03-29 15:11:01.000,130
2024-03-29 15:11:01.000,307
2024-03-29 15:11:01.000,306
2024-03-29 15:11:01.000,305
2024-03-29 15:11:01.000,305
2024-03-29 15:11:01.000,128
2024-03-29 15:11:01.000,128
2024-03-29 15:11:01.000,128
2024-03-29 15:11:01.000,128
2024-03-29 15:11:01.000,305
2024-03-29 15:11:16.000,307
2024-03-29 15:11:16.000,130
2024-03-29 15:11:31.000,307
2024-03-29 15:11:31.000,130
2024-03-29 15:11:46.000,307
2024-03-29 15:11:46.000,130
2024-03-29 15:12:01.000,128
2024-03-29 15:12:02.000,306
2024-03-29 15:12:02.000,305
2024-03-29 15:12:02.000,307
2024-03-29 15:12:02.000,305
2024-03-29 15:12:02.000,130
2024-03-29 15:12:02.000,128
2024-03-29 15:12:02.000,128
2024-03-29 15:12:02.000,305
2024-03-29 15:12:02.000,128
2024-03-29 15:12:17.000,307
2024-03-29 15:12:17.000,130
2024-03-29 15:12:32.000,307
2024-03-29 15:12:32.000,130
2024-03-29 15:12:47.000,307
2024-03-29 15:12:47.000,130
2024-03-29 15:13:01.000,130
2024-03-29 15:13:01.000,307
2024-03-29 15:13:01.000,305
2024-03-29 15:13:01.000,305
2024-03-29 15:13:01.000,306
2024-03-29 15:13:01.000,128
2024-03-29 15:13:01.000,128
2024-03-29 15:13:01.000,305
2024-03-29 15:13:01.000,128
2024-03-29 15:13:01.000,128
2024-03-29 15:13:14.000,594
2024-03-29 15:13:16.000,307
2024-03-29 15:13:16.000,130
2024-03-29 15:13:24.000,598
2024-03-29 15:13:31.000,307
2024-03-29 15:13:31.000,130
2024-03-29 15:13:46.000,307
2024-03-29 15:13:46.000,130
2024-03-29 15:14:01.000,130
2024-03-29 15:14:01.000,307
2024-03-29 15:14:01.000,306
2024-03-29 15:14:01.000,305
2024-03-29 15:14:01.000,305
2024-03-29 15:14:01.000,305
2024-03-29 15:14:01.000,128
2024-03-29 15:14:01.000,128
2024-03-29 15:14:01.000,128
2024-03-29 15:14:01.000,128
2024-03-29 15:14:16.000,307
2024-03-29 15:14:16.000,130
2024-03-29 15:14:31.000,307
2024-03-29 15:14:31.000,130
2024-03-29 15:14:46.000,307
2024-03-29 15:14:46.000,130
2024-03-29 15:15:01.000,130
2024-03-29 15:15:01.000,307
2024-03-29 15:15:01.000,306
2024-03-29 15:15:01.000,305
2024-03-29 15:15:01.000,305
2024-03-29 15:15:01.000,128
2024-03-29 15:15:01.000,128
2024-03-29 15:15:01.000,128
2024-03-29 15:15:01.000,128
2024-03-29 15:15:01.000,305
2024-03-29 15:15:16.000,307
2024-03-29 15:15:16.000,130
2024-03-29 15:15:31.000,307
2024-03-29 15:15:31.000,130
2024-03-29 15:15:46.000,307
2024-03-29 15:15:46.000,130
2024-03-29 15:16:01.000,305
2024-03-29 15:16:01.000,307
2024-03-29 15:16:01.000,306
2024-03-29 15:16:01.000,305
2024-03-29 15:16:01.000,130
2024-03-29 15:16:01.000,305
2024-03-29 15:16:01.000,128
2024-03-29 15:16:01.000,128
2024-03-29 15:16:01.000,128
2024-03-29 15:16:01.000,128
2024-03-29 15:16:16.000,307
2024-03-29 15:16:16.000,130
2024-03-29 15:16:23.000,197
2024-03-29 15:16:23.000,203
2024-03-29 15:16:23.000,204
2024-03-29 15:16:23.000,205
2024-03-29 15:16:31.000,307
2024-03-29 15:16:31.000,130
2024-03-29 15:16:33.000,341
2024-03-29 15:16:46.000,130
2024-03-29 15:16:46.000,307
2024-03-29 15:17:01.000,128
2024-03-29 15:17:01.000,128
2024-03-29 15:17:01.000,128
2024-03-29 15:17:01.000,128
2024-03-29 15:17:01.000,128
2024-03-29 15:17:01.000,129
2024-03-29 15:17:01.000,305
2024-03-29 15:17:01.000,305
2024-03-29 15:17:01.000,306
2024-03-29 15:17:01.000,305
2024-03-29 15:17:01.000,307
2024-03-29 15:17:01.000,130
2024-03-29 15:17:01.000,130
2024-03-29 15:17:16.000,307
2024-03-29 15:17:16.000,130
2024-03-29 15:17:31.000,130
2024-03-29 15:17:31.000,307
2024-03-29 15:17:46.000,307
2024-03-29 15:17:46.000,130
2024-03-29 15:18:01.000,128
2024-03-29 15:18:01.000,128
2024-03-29 15:18:01.000,128
2024-03-29 15:18:01.000,128
2024-03-29 15:18:01.000,305
2024-03-29 15:18:01.000,305
2024-03-29 15:18:01.000,306
2024-03-29 15:18:01.000,305
2024-03-29 15:18:01.000,307
2024-03-29 15:18:01.000,130
2024-03-29 15:18:16.000,307
2024-03-29 15:18:16.000,130
2024-03-29 15:18:31.000,130
2024-03-29 15:18:31.000,307
2024-03-29 15:18:46.000,307
2024-03-29 15:18:46.000,130
2024-03-29 15:19:01.000,128
2024-03-29 15:19:01.000,128
2024-03-29 15:19:01.000,128
2024-03-29 15:19:01.000,128
2024-03-29 15:19:01.000,305
2024-03-29 15:19:01.000,305
2024-03-29 15:19:01.000,306
2024-03-29 15:19:01.000,305
2024-03-29 15:19:01.000,307
2024-03-29 15:19:01.000,130
2024-03-29 15:19:16.000,307
2024-03-29 15:19:16.000,130
2024-03-29 15:19:31.000,307
2024-03-29 15:19:31.000,130
2024-03-29 15:19:43.000,594
2024-03-29 15:19:46.000,307
2024-03-29 15:19:46.000,130
2024-03-29 15:19:53.000,598
2024-03-29 15:20:01.000,307
2024-03-29 15:20:01.000,306
2024-03-29 15:20:01.000,305
2024-03-29 15:20:01.000,305
2024-03-29 15:20:01.000,130
2024-03-29 15:20:01.000,128
2024-03-29 15:20:01.000,128
2024-03-29 15:20:01.000,128
2024-03-29 15:20:01.000,128
2024-03-29 15:20:01.000,305
2024-03-29 15:20:14.000,209
2024-03-29 15:20:14.000,210
2024-03-29 15:20:14.000,211
2024-03-29 15:20:16.000,130
2024-03-29 15:20:16.000,307
2024-03-29 15:20:31.000,307
2024-03-29 15:20:31.000,130
2024-03-29 15:20:46.000,307
2024-03-29 15:20:46.000,130
2024-03-29 15:21:01.000,130
2024-03-29 15:21:01.000,307
2024-03-29 15:21:01.000,306
2024-03-29 15:21:01.000,305
2024-03-29 15:21:01.000,305
2024-03-29 15:21:01.000,128
2024-03-29 15:21:01.000,128
2024-03-29 15:21:01.000,128
2024-03-29 15:21:01.000,128
2024-03-29 15:21:01.000,305
2024-03-29 15:21:16.000,307
2024-03-29 15:21:16.000,130
2024-03-29 15:21:31.000,307
2024-03-29 15:21:31.000,130
2024-03-29 15:21:46.000,307
2024-03-29 15:21:46.000,130
2024-03-29 15:22:01.000,130
2024-03-29 15:22:01.000,307
2024-03-29 15:22:01.000,306
2024-03-29 15:22:01.000,305
2024-03-29 15:22:01.000,305
2024-03-29 15:22:01.000,305
2024-03-29 15:22:01.000,128
2024-03-29 15:22:01.000,128
2024-03-29 15:22:01.000,128
2024-03-29 15:22:01.000,128
2024-03-29 15:22:16.000,307
2024-03-29 15:22:16.000,130
2024-03-29 15:22:31.000,307
2024-03-29 15:22:31.000,130
2024-03-29 15:22:46.000,307
2024-03-29 15:22:46.000,130
2024-03-29 15:23:01.000,305
2024-03-29 15:23:01.000,130
2024-03-29 15:23:01.000,306
2024-03-29 15:23:01.000,305
2024-03-29 15:23:01.000,307
2024-03-29 15:23:01.000,128
2024-03-29 15:23:01.000,128
2024-03-29 15:23:01.000,128
2024-03-29 15:23:01.000,305
2024-03-29 15:23:01.000,128
2024-03-29 15:23:16.000,307
2024-03-29 15:23:16.000,130
2024-03-29 15:23:31.000,307
2024-03-29 15:23:31.000,130
2024-03-29 15:23:44.000,205
2024-03-29 15:23:44.000,204
2024-03-29 15:23:44.000,197
2024-03-29 15:23:44.000,203
2024-03-29 15:23:46.000,307
2024-03-29 15:23:46.000,130
2024-03-29 15:23:54.000,341
2024-03-29 15:24:01.000,130
2024-03-29 15:24:01.000,307
2024-03-29 15:24:01.000,306
2024-03-29 15:24:01.000,305
2024-03-29 15:24:01.000,305
2024-03-29 15:24:01.000,128
2024-03-29 15:24:01.000,128
2024-03-29 15:24:01.000,128
2024-03-29 15:24:01.000,128
2024-03-29 15:24:01.000,305
2024-03-29 15:24:16.000,307
2024-03-29 15:24:16.000,130
2024-03-29 15:24:31.000,307
2024-03-29 15:24:31.000,130
2024-03-29 15:24:46.000,307
2024-03-29 15:24:46.000,130
2024-03-29 15:25:01.000,306
2024-03-29 15:25:01.000,307
2024-03-29 15:25:01.000,130
2024-03-29 15:25:01.000,305
2024-03-29 15:25:01.000,305
2024-03-29 15:25:01.000,128
2024-03-29 15:25:01.000,128
2024-03-29 15:25:01.000,128
2024-03-29 15:25:01.000,128
2024-03-29 15:25:01.000,305
2024-03-29 15:25:16.000,307
2024-03-29 15:25:16.000,130
2024-03-29 15:25:31.000,307
2024-03-29 15:25:31.000,130
2024-03-29 15:25:46.000,130
2024-03-29 15:25:46.000,307
2024-03-29 15:26:01.000,144
2024-03-29 15:26:01.000,143
2024-03-29 15:26:01.000,143
2024-03-29 15:26:01.000,205
2024-03-29 15:26:01.000,197
2024-03-29 15:26:01.000,204
2024-03-29 15:26:01.000,203
2024-03-29 15:26:01.000,130
2024-03-29 15:26:01.000,305
2024-03-29 15:26:01.000,305
2024-03-29 15:26:01.000,306
2024-03-29 15:26:01.000,305
2024-03-29 15:26:01.000,128
2024-03-29 15:26:01.000,128
2024-03-29 15:26:01.000,128
2024-03-29 15:26:01.000,128
2024-03-29 15:26:01.000,307
2024-03-29 15:26:02.000,198
2024-03-29 15:26:02.000,143
2024-03-29 15:26:02.000,143
2024-03-29 15:26:02.000,145
2024-03-29 15:26:02.000,518
2024-03-29 15:26:03.000,198
2024-03-29 15:26:06.000,143
2024-03-29 15:26:06.000,145
2024-03-29 15:26:06.000,200
2024-03-29 15:26:06.000,197
2024-03-29 15:26:06.000,205
2024-03-29 15:26:06.000,143
2024-03-29 15:26:06.000,203
2024-03-29 15:26:06.000,144
2024-03-29 15:26:06.000,143
2024-03-29 15:26:06.000,143
2024-03-29 15:26:06.000,204
2024-03-29 15:26:08.000,200
2024-03-29 15:26:11.000,143
2024-03-29 15:26:11.000,145
2024-03-29 15:26:11.000,201
2024-03-29 15:26:11.000,144
2024-03-29 15:26:11.000,143
2024-03-29 15:26:11.000,205
2024-03-29 15:26:11.000,197
2024-03-29 15:26:11.000,204
2024-03-29 15:26:11.000,203
2024-03-29 15:26:11.000,143
2024-03-29 15:26:11.000,143
2024-03-29 15:26:13.000,201
2024-03-29 15:26:16.000,130
2024-03-29 15:26:16.000,307
2024-03-29 15:26:31.000,307
2024-03-29 15:26:31.000,130
2024-03-29 15:26:46.000,307
2024-03-29 15:26:46.000,130
2024-03-29 15:27:01.000,130
2024-03-29 15:27:01.000,306
2024-03-29 15:27:01.000,305
2024-03-29 15:27:01.000,305
2024-03-29 15:27:01.000,307
2024-03-29 15:27:01.000,128
2024-03-29 15:27:01.000,128
2024-03-29 15:27:01.000,128
2024-03-29 15:27:01.000,305
2024-03-29 15:27:01.000,128
2024-03-29 15:27:16.000,307
2024-03-29 15:27:16.000,130
2024-03-29 15:27:31.000,130
2024-03-29 15:27:31.000,307
2024-03-29 15:27:46.000,307
2024-03-29 15:27:46.000,130
2024-03-29 15:27:46.000,197
2024-03-29 15:27:46.000,203
2024-03-29 15:27:46.000,204
2024-03-29 15:27:46.000,205
2024-03-29 15:27:56.000,341
2024-03-29 15:28:01.000,306
2024-03-29 15:28:01.000,305
2024-03-29 15:28:01.000,130
2024-03-29 15:28:01.000,305
2024-03-29 15:28:01.000,307
2024-03-29 15:28:01.000,128
2024-03-29 15:28:01.000,128
2024-03-29 15:28:01.000,305
2024-03-29 15:28:01.000,128
2024-03-29 15:28:01.000,128
2024-03-29 15:28:16.000,307
2024-03-29 15:28:16.000,130
2024-03-29 15:28:31.000,307
2024-03-29 15:28:31.000,130
2024-03-29 15:28:46.000,307
2024-03-29 15:28:46.000,130
2024-03-29 15:29:01.000,305
2024-03-29 15:29:01.000,130
2024-03-29 15:29:01.000,307
2024-03-29 15:29:01.000,306
2024-03-29 15:29:01.000,305
2024-03-29 15:29:01.000,305
2024-03-29 15:29:01.000,128
2024-03-29 15:29:01.000,128
2024-03-29 15:29:01.000,128
2024-03-29 15:29:01.000,128
2024-03-29 15:29:16.000,307
2024-03-29 15:29:16.000,130
2024-03-29 15:29:31.000,307
2024-03-29 15:29:31.000,130
2024-03-29 15:29:46.000,307
2024-03-29 15:29:46.000,130
2024-03-29 15:30:00.999,128
2024-03-29 15:30:01.000,307
2024-03-29 15:30:01.000,305
2024-03-29 15:30:01.000,128
2024-03-29 15:30:01.000,130
2024-03-29 15:30:01.000,305
2024-03-29 15:30:01.000,305
2024-03-29 15:30:01.000,128
2024-03-29 15:30:01.000,128
2024-03-29 15:30:01.000,306
2024-03-29 15:30:01.008,426
2024-03-29 15:30:16.000,307
2024-03-29 15:30:16.000,130
2024-03-29 15:30:31.000,307
2024-03-29 15:30:31.000,130
2024-03-29 15:30:46.000,307
2024-03-29 15:30:46.000,130
2024-03-29 15:31:01.000,130
2024-03-29 15:31:01.000,307
2024-03-29 15:31:01.000,305
2024-03-29 15:31:01.000,306
2024-03-29 15:31:01.000,305
2024-03-29 15:31:01.000,128
2024-03-29 15:31:01.000,128
2024-03-29 15:31:01.000,128
2024-03-29 15:31:01.000,128
2024-03-29 15:31:01.000,305
2024-03-29 15:31:16.000,307
2024-03-29 15:31:16.000,130
2024-03-29 15:31:31.000,130
2024-03-29 15:31:31.000,307
2024-03-29 15:31:32.000,594
2024-03-29 15:31:42.000,598
2024-03-29 15:31:46.000,307
2024-03-29 15:31:46.000,130
2024-03-29 15:32:01.000,306
